ISIN code,dom_country,economic_sector,industry
AU000000QUB5,Australia,Transportation,Marine Ports and Services
AU000000REA9,Australia,Media and Entertainment,Interactive Media and Services
AU000000RED3,Australia,Materials,Gold
AU000000REH4,Australia,Capital Goods,Trading Companies and Distributors
AU000000RHC8,Australia,Health Care Equipment and Services,Health Care Facilities
AU000000RIC6,Australia,"Food, Beverage and Tobacco",Agricultural Products and Services
AU000000RIO1,Australia,Materials,Diversified Metals and Mining
AU000000RMS4,Australia,Materials,Gold
AU000000RRL8,Australia,Materials,Gold
AU000000RSG6,Australia,Materials,Gold
AU000000S320,Australia,Materials,Diversified Metals and Mining
AU000000SBM8,Australia,Materials,Gold
AU000000SCG8,Australia,Equity Real Estate Investment Trusts (REITs),Retail REITs
AU000000SDF8,Australia,Insurance,Insurance Brokers
AU000000SEK6,Australia,Media and Entertainment,Interactive Media and Services
AU000000SFR8,Australia,Materials,Copper
AU000000SGH7,Australia,Consumer Services,Specialized Consumer Services
AU000000SGM7,Australia,Materials,Steel
AU000000SGP0,Australia,Equity Real Estate Investment Trusts (REITs),Diversified REITs
AU000000SHL7,Australia,Health Care Equipment and Services,Health Care Services
AU000000SIG5,Australia,Health Care Equipment and Services,Health Care Distributors
AU000000SLR6,Australia,Materials,Gold
AU000000SLX4,Australia,Capital Goods,Industrial Machinery and Supplies and Components
AU000000SOL3,Australia,Financial Services,Multi-Sector Holdings
AU000000SPL0,Australia,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
AU000000STO6,Australia,Energy,Oil and Gas Exploration and Production
AU000000SUL0,Australia,Consumer Discretionary Distribution and Retail,Other Specialty Retail
AU000000SUN6,Australia,Insurance,Property and Casualty Insurance
AU000000SVW5,Australia,Capital Goods,Trading Companies and Distributors
AU000000SYD9,Australia,Transportation,Airport Services
AU000000SYR9,Australia,Materials,Diversified Metals and Mining
AU000000TAH8,Australia,Consumer Services,Casinos and Gaming
AU000000TCL6,Australia,Transportation,Highways and Railtracks
AU000000TLS2,Australia,Telecommunication Services,Integrated Telecommunication Services
AU0000090128,Australia,Telecommunication Services,Integrated Telecommunication Services
AU000000TWE9,Australia,"Food, Beverage and Tobacco",Distillers and Vintners
AU000000VCX7,Australia,Equity Real Estate Investment Trusts (REITs),Retail REITs
AU0000016875,Australia,Energy,Oil and Gas Refining and Marketing
AU000000WBC1,Australia,Banks,Diversified Banks
AU0000224040,Australia,Energy,Oil and Gas Exploration and Production
AU000000WES1,Australia,Consumer Discretionary Distribution and Retail,Broadline Retail
AU000000WGX6,Australia,Materials,Gold
AU000000WHC8,Australia,Energy,Coal and Consumable Fuels
AU000000WOR2,Australia,Capital Goods,Construction and Engineering
AU000000WOW2,Australia,Consumer Staples Distribution and Retail,Food Retail
AU000000WPP3,Australia,Media and Entertainment,Advertising
AU000000WTC3,Australia,Software and Services,Application Software
AU0000218307,Australia,Financial Services,Consumer Finance
AT000AGRANA3,Austria,"Food, Beverage and Tobacco",Packaged Foods and Meats
AT0000730007,Austria,Capital Goods,Industrial Machinery and Supplies and Components
AT0000969985,Austria,Technology Hardware and Equipment,Electronic Components
AT0000BAWAG2,Austria,Banks,Diversified Banks
AT0000652011,Austria,Banks,Diversified Banks
AT0000741053,Austria,Utilities,Electric Utilities
AT0000644505,Austria,Materials,Commodity Chemicals
AT0000938204,Austria,Materials,Paper and Plastic Packaging Products and Materials
AT0000743059,Austria,Energy,Integrated Oil and Gas
AT0000609607,Austria,Capital Goods,Construction and Engineering
AT0000APOST4,Austria,Transportation,Air Freight and Logistics
AT0000606306,Austria,Banks,Diversified Banks
AT0000785555,Austria,Capital Goods,Industrial Machinery and Supplies and Components
AT000000STR1,Austria,Capital Goods,Construction and Engineering
AT0000720008,Austria,Telecommunication Services,Integrated Telecommunication Services
AT0000746409,Austria,Utilities,Electric Utilities
AT0000937503,Austria,Materials,Steel
AT0000831706,Austria,Materials,Construction Materials
AT0000837307,Austria,Capital Goods,Electrical Components and Equipment
BE0974293251,Belgium,"Food, Beverage and Tobacco",Brewers
BE0003764785,Belgium,Capital Goods,Construction and Engineering
BE0003755692,Belgium,Health Care Equipment and Services,Health Care Technology
BE0974264930,Belgium,Insurance,Multi-line Insurance
BE0974258874,Belgium,Materials,Steel
BE0974268972,Belgium,Transportation,Air Freight and Logistics
BE0003593044,Belgium,Equity Real Estate Investment Trusts (REITs),Health Care REITs
BE0974256852,Belgium,Consumer Staples Distribution and Retail,Food Retail
BE0974260896,Belgium,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
BE0974259880,Belgium,Consumer Discretionary Distribution and Retail,Distributors
BE0974313455,Belgium,Software and Services,IT Consulting and Other Services
BE0003822393,Belgium,Utilities,Electric Utilities
BE0003816338,Belgium,Energy,Oil and Gas Storage and Transportation
BE0003874915,Belgium,Health Care Equipment and Services,Health Care Distributors
BE0003797140,Belgium,Financial Services,Multi-Sector Holdings
BE0003766806,Belgium,Health Care Equipment and Services,Health Care Equipment
BE0974276082,Belgium,Household and Personal Products,Personal Care Products
BE0003810273,Belgium,Telecommunication Services,Integrated Telecommunication Services
BE0003717312,Belgium,Financial Services,Multi-Sector Holdings
BE0003470755,Belgium,Materials,Diversified Chemicals
BE0003555639,Belgium,Materials,Diversified Chemicals
BE0003826436,Belgium,Media and Entertainment,Cable and Satellite
BE0003739530,Belgium,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
BE0974320526,Belgium,Materials,Specialty Chemicals
BE0974349814,Belgium,Equity Real Estate Investment Trusts (REITs),Industrial REITs
BRABEVACNOR1,Brazil,"Food, Beverage and Tobacco",Brewers
BRASAIACNOR0,Brazil,Consumer Staples Distribution and Retail,Consumer Staples Merchandise Retail
BRB3SAACNOR6,Brazil,Financial Services,Financial Exchanges and Data
BRBBASACNOR3,Brazil,Banks,Diversified Banks
BRBBDCACNPR8,Brazil,Banks,Diversified Banks
BRBBSEACNOR5,Brazil,Insurance,Multi-line Insurance
BRBEEFACNOR6,Brazil,"Food, Beverage and Tobacco",Packaged Foods and Meats
BRBRFSACNOR8,Brazil,"Food, Beverage and Tobacco",Packaged Foods and Meats
BRBRKMACNPA4,Brazil,Materials,Commodity Chemicals
BRBRMLACNOR9,Brazil,Real Estate Management and Development,Real Estate Operating Companies
BRCCROACNOR2,Brazil,Transportation,Highways and Railtracks
BRCIELACNOR3,Brazil,Financial Services,Transaction and Payment Processing Services
BRCOGNACNOR2,Brazil,Consumer Services,Education Services
BRCPFEACNOR0,Brazil,Utilities,Electric Utilities
BRCPLEACNPB9,Brazil,Utilities,Electric Utilities
BRCSANACNOR6,Brazil,Energy,Oil and Gas Refining and Marketing
BRCSNAACNOR6,Brazil,Materials,Steel
BREGIEACNOR9,Brazil,Utilities,Renewable Electricity
BRELETACNPB7,Brazil,Utilities,Electric Utilities
BREMBRACNOR4,Brazil,Capital Goods,Aerospace and Defense
BRENBRACNOR2,Brazil,Utilities,Electric Utilities
BREQTLACNOR0,Brazil,Utilities,Electric Utilities
BRGFSAACNOR3,Brazil,Consumer Durables and Apparel,Homebuilding
BRGGBRACNPR8,Brazil,Materials,Steel
BRGOLLACNPR4,Brazil,Transportation,Passenger Airlines
BRHYPEACNOR0,Brazil,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
BRIRBRACNOR4,Brazil,Insurance,Reinsurance
BRITSAACNPR7,Brazil,Banks,Diversified Banks
BRITUBACNPR1,Brazil,Banks,Diversified Banks
BRJBSSACNOR8,Brazil,"Food, Beverage and Tobacco",Packaged Foods and Meats
BRKLBNACNPR9,Brazil,Materials,Paper and Plastic Packaging Products and Materials
BRLIGTACNOR2,Brazil,Utilities,Electric Utilities
BRLRENACNOR1,Brazil,Consumer Discretionary Distribution and Retail,Apparel Retail
BRMRFGACNOR0,Brazil,"Food, Beverage and Tobacco",Packaged Foods and Meats
BRNTCOACNOR5,Brazil,Household and Personal Products,Personal Care Products
BROIBRACNPR8,Brazil,Telecommunication Services,Integrated Telecommunication Services
BRPCARACNOR3,South America,Brazil,Consumer Staples Distribution and Retail
BRPETRACNPR6,Brazil,Energy,Integrated Oil and Gas
BRPRIOACNOR1,Brazil,Energy,Oil and Gas Exploration and Production
BRRADLACNOR0,Brazil,Consumer Staples Distribution and Retail,Drug Retail
BRRAILACNOR9,Brazil,Transportation,Rail Transportation
BRRENTACNOR4,Brazil,Transportation,Passenger Ground Transportation
BRSBSPACNOR5,Brazil,Utilities,Water Utilities
BRSLCEACNOR2,Brazil,"Food, Beverage and Tobacco",Agricultural Products and Services
BRSUZBACNOR0,Brazil,Materials,Paper Products
BRTIMSACNOR5,Brazil,Telecommunication Services,Wireless Telecommunication Services
BRTOTSACNOR8,Brazil,Software and Services,Systems Software
BRUGPAACNOR8,Brazil,Energy,Oil and Gas Storage and Transportation
BRUSIMACNPA6,Brazil,Materials,Steel
BRVALEACNOR0,Brazil,Materials,Steel
BRVBBRACNOR1,Brazil,Consumer Discretionary Distribution and Retail,Automotive Retail
BRVIVTACNPR7,Brazil,Telecommunication Services,Integrated Telecommunication Services
BRWEGEACNOR0,Brazil,Capital Goods,Electrical Components and Equipment
COB07PA00078,Colombia,Banks,Diversified Banks
COC04PA00016,Colombia,Energy,Integrated Oil and Gas
COG31PA00044,Colombia,Consumer Staples Distribution and Retail,Consumer Staples Merchandise Retail
COT29PA00058,Colombia,Banks,Diversified Banks
COE15PA00026,Colombia,Utilities,Electric Utilities
COT04PA00028,Colombia,"Food, Beverage and Tobacco",Packaged Foods and Meats
CNE000000GF2,China,"Food, Beverage and Tobacco",Distillers and Vintners
CNE0000001J1,China,Materials,Commodity Chemicals
CNE0000010T1,China,Technology Hardware and Equipment,Technology Distributors
CNE000001KF2,China,Consumer Discretionary Distribution and Retail,Computer and Electronics Retail
CNE100000B81,China,Software and Services,Application Software
CNE100000BP1,China,Technology Hardware and Equipment,Electronic Manufacturing Services
CNE100000N79,China,Technology Hardware and Equipment,Electronic Components
CNE100000PM8,China,Technology Hardware and Equipment,Electronic Equipment and Instruments
CNE100000TP3,China,Technology Hardware and Equipment,Electronic Components
CNE1000010N2,China,Media and Entertainment,Interactive Home Entertainment
CNE1000018W6,China,Media and Entertainment,Interactive Home Entertainment
CNE000000N14,China,Automobiles and Components,Automobile Manufacturers
CNE000000R44,China,Technology Hardware and Equipment,Electronic Components
CNE100000V20,China,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
CNE000001CS2,China,Telecommunication Services,Wireless Telecommunication Services
CNE000000TY6,China,Automobiles and Components,Automobile Manufacturers
CNE0000018R8,China,"Food, Beverage and Tobacco",Distillers and Vintners
CNE000000BQ0,China,Utilities,Renewable Electricity
CNE000000CG9,China,Consumer Durables and Apparel,Household Appliances
CNE000001G87,China,Utilities,Renewable Electricity
CNE1000017G1,China,Capital Goods,Construction and Engineering
CNE100000G29,China,Consumer Discretionary Distribution and Retail,Other Specialty Retail
CNE100000XX9,China,Consumer Staples Distribution and Retail,Food Retail
CNE100001SL2,China,"Food, Beverage and Tobacco",Packaged Foods and Meats
CNE000000SK7,China,Energy,Coal and Consumable Fuels
CLP3697S1034,Chile,"Food, Beverage and Tobacco",Soft Drinks and Non-alcoholic Beverages
CLP1506A1070,Chile,Banks,Diversified Banks
CLP249051044,Chile,"Food, Beverage and Tobacco",Brewers
CL0000000100,Chile,Consumer Staples Distribution and Retail,Consumer Staples Merchandise Retail
CLP0939W1081,Chile,Banks,Diversified Banks
CL0000001314,Chile,Materials,Paper Products
CLP7847L1080,Chile,Consumer Discretionary Distribution and Retail,Automotive Retail
