ISIN code,dom_country,economic_sector,industry
BMG3978C1249,Hong Kong,Consumer Discretionary Distribution and Retail,Computer and Electronics Retail
BMG2154F1095,Hong Kong,"Food, Beverage and Tobacco",Soft Drinks and Non-alcoholic Beverages
BMG988031446,Hong Kong,Consumer Durables and Apparel,Footwear
CNE1000004S4,China,Transportation,Highways and Railtracks
BMG2108V1019,Hong Kong,Materials,Steel
BMG5695X1258,Hong Kong,Consumer Discretionary Distribution and Retail,Other Specialty Retail
CNE1000004F1,China,Transportation,Air Freight and Logistics
HK0604011236,Hong Kong,Real Estate Management and Development,Diversified Real Estate Activities
HK0656038673,China,Capital Goods,Industrial Conglomerates
BMG668971101,Hong Kong,Capital Goods,Industrial Conglomerates
HK0669013440,Hong Kong,Capital Goods,Industrial Machinery and Supplies and Components
CNE1000002K5,China,Transportation,Passenger Airlines
BMG524401079,Hong Kong,Real Estate Management and Development,Diversified Real Estate Activities
HK0688002218,Hong Kong,Real Estate Management and Development,Real Estate Development
CNE100000221,China,Transportation,Airport Services
CNE1000004J3,China,Consumer Services,"Hotels, Resorts and Cruise Lines"
CNE1000002V2,China,Telecommunication Services,Integrated Telecommunication Services
BMG8181C1001,Hong Kong,Consumer Durables and Apparel,Consumer Electronics
HK0000049939,Hong Kong,Telecommunication Services,Integrated Telecommunication Services
CNE1000004Y2,China,Technology Hardware and Equipment,Communications Equipment
CNE100003688,China,Telecommunication Services,Integrated Telecommunication Services
HK0817039453,Hong Kong,Real Estate Management and Development,Real Estate Development
HK0823032773,Hong Kong,Equity Real Estate Investment Trusts (REITs),Retail REITs
HK0836012952,Hong Kong,Utilities,Independent Power Producers and Energy Traders
BMG210901242,Hong Kong,Utilities,Water Utilities
HK0883013259,Hong Kong,Energy,Oil and Gas Exploration and Production
CNE1000006Z4,China,Utilities,Independent Power Producers and Energy Traders
CNE1000001W2,China,Materials,Construction Materials
CNE100000HD4,China,Utilities,Renewable Electricity
BMG8165U1009,Hong Kong,Energy,Oil and Gas Storage and Transportation
CNE1000002H1,China,Banks,Diversified Banks
CNE100000TW9,China,Energy,Oil and Gas Storage and Transportation
HK0992009065,Hong Kong,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals"
CNE1000001Q4,China,Banks,Diversified Banks
BMG2178K1009,Hong Kong,Utilities,Electric Utilities
CNE1000002T6,China,Transportation,Passenger Airlines
CNE100000171,China,Health Care Equipment and Services,Health Care Supplies
BMG211591018,China,"Food, Beverage and Tobacco",Packaged Foods and Meats
CNE1000002R0,China,Energy,Coal and Consumable Fuels
HK1093012172,China,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
CNE100000FN7,China,Health Care Equipment and Services,Health Care Distributors
BMG1368B1028,Hong Kong,Automobiles and Components,Automobile Manufacturers
CNE100000X85,China,Capital Goods,Construction Machinery and Heavy Transportation Equipment
CNE1000004Q8,China,Energy,Coal and Consumable Fuels
BMG2113B1081,Hong Kong,Utilities,Gas Utilities
HK1208013172,Australia,Materials,Diversified Metals and Mining
CNE100000296,China,Automobiles and Components,Automobile Manufacturers
CNE100000Q43,China,Banks,Diversified Banks
HK0000069689,Hong Kong,Insurance,Life and Health Insurance
HK0000218211,China,Semiconductors and Semiconductor Equipment,Semiconductors
CNE100001QS1,China,Financial Services,Asset Management and Custody Banks
CNE1000003G1,China,Banks,Diversified Banks
CNE100000FF3,China,Capital Goods,Construction and Engineering
CNE1000029W3,China,Banks,Diversified Banks
CNE1000031W9,China,Materials,Specialty Chemicals
CNE100001TQ9,China,Financial Services,Investment Banking and Brokerage
CNE1000036N7,China,Materials,Gold
CNE100001T80,China,Utilities,Independent Power Producers and Energy Traders
CNE1000004R6,China,Materials,Gold
CNE100000528,China,Energy,Coal and Consumable Fuels
CNE1000002J7,China,Transportation,Marine Transportation
HK0000063609,Hong Kong,Real Estate Management and Development,Real Estate Operating Companies
CNE100000HF9,China,Banks,Diversified Banks
BMG570071099,China,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
CNE100001M79,China,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
CNE100001SR9,China,Real Estate Management and Development,Real Estate Development
CNE100000Q35,China,Automobiles and Components,Automobile Manufacturers
HK0000811882,China,Consumer Durables and Apparel,Household Appliances
CNE1000003X6,China,Insurance,Life and Health Insurance
CNE100000593,China,Insurance,Property and Casualty Insurance
CNE100000338,China,Automobiles and Components,Automobile Manufacturers
CNE1000004L9,China,Capital Goods,Construction Machinery and Heavy Transportation Equipment
BMG684371393,Hong Kong,Transportation,Marine Transportation
CNE100003F19,China,"Pharmaceuticals, Biotechnology and Life Sciences",Life Sciences Tools and Services
HK2380027329,Hong Kong,Utilities,Independent Power Producers and Energy Traders
HK2388011192,Hong Kong,Banks,Diversified Banks
CNE1000001T8,China,Materials,Aluminum
CNE1000012B3,China,Health Care Equipment and Services,Health Care Distributors
CNE100002FK9,China,Financial Services,Investment Banking and Brokerage
CNE1000002L3,China,Insurance,Life and Health Insurance
BMG653181005,Hong Kong,Materials,Paper Products
CNE100000437,China,Capital Goods,Heavy Electrical Equipment
CNE100000569,China,Real Estate Management and Development,Real Estate Development
CNE100000536,China,Capital Goods,Trading Companies and Distributors
CNE1000002P4,China,Energy,Oil and Gas Drilling
CNE100000502,China,Materials,Gold
HK0000311099,Hong Kong,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
CNE1000002N9,China,Materials,Construction Materials
CNE100000205,China,Banks,Diversified Banks
HK0000077468,Hong Kong,Financial Services,Specialized Finance
HK3377040226,China,Real Estate Management and Development,Real Estate Development
CNE100001ZT0,China,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals"
CNE100001TR7,China,Automobiles and Components,Automotive Parts and Equipment
HK3808041546,China,Capital Goods,Construction Machinery and Heavy Transportation Equipment
CNE1000004X4,China,Capital Goods,Construction Machinery and Heavy Transportation Equipment
CNE100002359,China,Financial Services,Investment Banking and Brokerage
CNE1000002M1,China,Banks,Diversified Banks
CNE100000114,China,Materials,Diversified Metals and Mining
CNE1000016V2,China,Financial Services,Investment Banking and Brokerage
CNE100002QY7,China,Insurance,Multi-line Insurance
HK0000083920,China,Consumer Staples Distribution and Retail,Consumer Staples Merchandise Retail
HK0000093390,Hong Kong,Telecommunication Services,Integrated Telecommunication Services
CNE1000019K9,China,Financial Services,Investment Banking and Brokerage
CNE100001YQ9,China,Financial Services,Investment Banking and Brokerage
BMG2164J1099,Hong Kong,Software and Services,Application Software
GI000A0F6407,Gibraltar,Consumer Services,Casinos and Gaming
GB00BKDRYJ47,United Kingdom,Telecommunication Services,Wireless Telecommunication Services
GB00B1XZS820,United Kingdom,Materials,Diversified Metals and Mining
GB0006731235,United Kingdom,"Food, Beverage and Tobacco",Packaged Foods and Meats
GB00B02J6398,United Kingdom,Insurance,Property and Casualty Insurance
GB00BVGBWW93,United Kingdom,Equity Real Estate Investment Trusts (REITs),Health Care REITs
GB0000536739,United Kingdom,Capital Goods,Trading Companies and Distributors
GB00BFZNLB60,United Kingdom,Financial Services,Investment Banking and Brokerage
GB00BDHXPG30,United Kingdom,Software and Services,Application Software
GB00BLRLH124,United States,Financial Services,Asset Management and Custody Banks
GB00BN7CG237,United Kingdom,Automobiles and Components,Automobile Manufacturers
GB0000456144,United Kingdom,Materials,Copper
GB0030927254,United Kingdom,Consumer Discretionary Distribution and Retail,Apparel Retail
GB00BYM8GJ06,United Kingdom,Media and Entertainment,Advertising
GB00B132NW22,United Kingdom,Financial Services,Asset Management and Custody Banks
GB00BVYVFW23,United Kingdom,Media and Entertainment,Interactive Media and Services
GB00BPQY8M80,United Kingdom,Insurance,Multi-line Insurance
GB0000667013,United Kingdom,Capital Goods,Aerospace and Defense
GB00BBG9VN75,United Kingdom,Software and Services,Application Software
GB0009895292,United Kingdom,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
GB0002634946,United Kingdom,Capital Goods,Aerospace and Defense
GB0009697037,United Kingdom,Capital Goods,Aerospace and Defense
GB00BF8J3Z99,United Kingdom,"Food, Beverage and Tobacco",Packaged Foods and Meats
GB0031348658,United Kingdom,Banks,Diversified Banks
GB0002875804,United Kingdom,"Food, Beverage and Tobacco",Tobacco
GB00BG49KP99,United Kingdom,Equity Real Estate Investment Trusts (REITs),Industrial REITs
GB0000961622,United Kingdom,Capital Goods,Construction and Engineering
GB0000811801,United Kingdom,Consumer Durables and Apparel,Homebuilding
GB00BYQ0JC66,United Kingdom,Insurance,Property and Casualty Insurance
GB00BH0P3Z91,United Kingdom,Materials,Diversified Metals and Mining
GB00BLJNXL82,United Kingdom,Consumer Durables and Apparel,Homebuilding
GB0001367019,United Kingdom,Equity Real Estate Investment Trusts (REITs),Diversified REITs
GB0033147751,United Kingdom,Media and Entertainment,Publishing
GB00B0744B38,United Kingdom,Capital Goods,Trading Companies and Distributors
GB00B3FLWH99,United Kingdom,Capital Goods,Industrial Machinery and Supplies and Components
GB0007980591,United Kingdom,Energy,Integrated Oil and Gas
GB0031743007,United Kingdom,Consumer Durables and Apparel,"Apparel, Accessories and Luxury Goods"
GB0030913577,United Kingdom,Telecommunication Services,Integrated Telecommunication Services
GG00BMGYLN96,United Kingdom,Financial Services,Specialized Finance
GB00B0N8QD54,United Kingdom,"Food, Beverage and Tobacco",Soft Drinks and Non-alcoholic Beverages
GB0002869419,United Kingdom,Equity Real Estate Investment Trusts (REITs),Self-Storage REITs
GB00BLY2F708,United Kingdom,Consumer Discretionary Distribution and Retail,Other Specialty Retail
GB0007668071,United Kingdom,Banks,Diversified Banks
GB00BV9FP302,United Kingdom,Software and Services,IT Consulting and Other Services
CH0198251305,Switzerland,"Food, Beverage and Tobacco",Soft Drinks and Non-alcoholic Beverages
GB0031215220,United Kingdom,Consumer Services,"Hotels, Resorts and Cruise Lines"
GB00B45C9X44,United Kingdom,Capital Goods,Aerospace and Defense
GB0002018363,United Kingdom,Transportation,Marine Transportation
GB00B033F229,United Kingdom,Utilities,Multi-Utilities
GB00BRJ7R218,United Kingdom,Energy,Oil and Gas Exploration and Production
GB00B4YZN328,United Kingdom,Consumer Durables and Apparel,Textiles
GB00B64NSP76,United Kingdom,Capital Goods,Construction and Engineering
GB00BD6K4575,United Kingdom,Consumer Services,Restaurants
GB00B23K0M20,United Kingdom,Commercial and Professional Services,Data Processing and Outsourced Services
GB00BJFFLV09,United Kingdom,Materials,Specialty Chemicals
GB00BD3VFW73,United Kingdom,Health Care Equipment and Services,Health Care Supplies
GB00B4Y7R145,United Kingdom,Consumer Discretionary Distribution and Retail,Computer and Electronics Retail
GB00B2863827,United Kingdom,Health Care Equipment and Services,Health Care Facilities
GB0002318888,United Kingdom,"Food, Beverage and Tobacco",Packaged Foods and Meats
GB00BG5KQW09,United Kingdom,Capital Goods,Electrical Components and Equipment
GB00BNYK8G86,United Kingdom,Software and Services,Systems Software
GB00BQHP5P93,United States,Energy,Oil and Gas Exploration and Production
GB0002374006,United Kingdom,"Food, Beverage and Tobacco",Distillers and Vintners
GB0033057794,United Kingdom,Capital Goods,Electrical Components and Equipment
GB00B3DGH821,United Kingdom,Commercial and Professional Services,Commercial Printing
GB00BY9D0Y18,United Kingdom,Insurance,Property and Casualty Insurance
GB0002652740,United Kingdom,Equity Real Estate Investment Trusts (REITs),Office REITs
GB00B1CKQ739,United Kingdom,Consumer Discretionary Distribution and Retail,Homefurnishing Retail
GB00BL6NGV24,United Kingdom,Consumer Durables and Apparel,Footwear
GB00BYN59130,United Kingdom,Consumer Services,Restaurants
GB0009633180,United Kingdom,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
GB0001826634,United Kingdom,Capital Goods,Trading Companies and Distributors
GB00B1VNSX38,United Kingdom,Utilities,Renewable Electricity
GB0006449366,United Kingdom,Materials,Steel
GB00B635TG28,United Kingdom,Energy,Oil and Gas Exploration and Production
GB00B71N6K86,United Kingdom,Materials,Steel
GB00B19NLV48,Ireland,Commercial and Professional Services,Research and Consulting Services
GB00B7KR2P84,United Kingdom,Transportation,Passenger Airlines
GB0031477770,United Kingdom,Software and Services,Application Software
GB00BRJ9BJ26,United Kingdom,"Food, Beverage and Tobacco",Soft Drinks and Non-alcoholic Beverages
GB0003452173,United Kingdom,Transportation,Rail Transportation
GB00BCKFY513,United Kingdom,Real Estate Management and Development,Real Estate Services
GB00B1QH8P22,United Kingdom,Consumer Discretionary Distribution and Retail,Other Specialty Retail
GB00B2QPKJ12,Mexico,Materials,Precious Metals and Minerals
GB00BYZN9041,United Kingdom,Media and Entertainment,Publishing
GB00B1XH2C03,Switzerland,Materials,Steel
GB0003718474,United Kingdom,Consumer Durables and Apparel,Leisure Products
BMG4209G2077,Bermuda,Energy,Oil and Gas Exploration and Production
GB00B63QSB39,United Kingdom,Consumer Services,Restaurants
GB00B04V1276,United Kingdom,Real Estate Management and Development,Real Estate Operating Companies
GB00BN7SWP63,United Kingdom,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
GB00BZBX0P70,United Kingdom,Consumer Services,Leisure Facilities
GB0004161021,United Kingdom,Commercial and Professional Services,Human Resource and Employment Services
GB00BMBVGQ36,United Kingdom,Energy,Oil and Gas Exploration and Production
GB00B012TP20,United Kingdom,Consumer Discretionary Distribution and Retail,Automotive Retail
GB00B1V9NW54,United Kingdom,"Food, Beverage and Tobacco",Packaged Foods and Meats
GB00B0LCW083,United Kingdom,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
GB0004270301,United Kingdom,Materials,Steel
GB00B1VZ0M25,United Kingdom,Financial Services,Asset Management and Custody Banks
GB0004052071,United Kingdom,Technology Hardware and Equipment,Electronic Equipment and Instruments
GB00BK7YQK64,United Kingdom,Equity Real Estate Investment Trusts (REITs),Retail REITs
GB00B1FW5029,United Kingdom,Materials,Gold
GB0005405286,United Kingdom,Banks,Diversified Banks
BMG4593F1389,Bermuda,Insurance,Property and Casualty Insurance
GB00BJVQC708,United Kingdom,Telecommunication Services,Integrated Telecommunication Services
GB0005576813,United Kingdom,Capital Goods,Trading Companies and Distributors
ES0177542018,United Kingdom,Transportation,Passenger Airlines
GB00BYT1DJ19,United Kingdom,Financial Services,Asset Management and Custody Banks
GB00BDVZYZ77,United Kingdom,Transportation,Air Freight and Logistics
GB00B06QFB75,United Kingdom,Financial Services,Investment Banking and Brokerage
GB00BHJYC057,United Kingdom,Consumer Services,"Hotels, Resorts and Cruise Lines"
GB00BD45SH49,United Kingdom,Financial Services,Financial Exchanges and Data
GB00B1YW4409,United Kingdom,Financial Services,Asset Management and Custody Banks
GB0004544929,United Kingdom,"Food, Beverage and Tobacco",Tobacco
GB00BGLP8L22,United Kingdom,Capital Goods,Industrial Machinery and Supplies and Components
GB00B61TVQ02,United Kingdom,Consumer Discretionary Distribution and Retail,Distributors
GB00BN4HT335,United States,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
GB00BMJ6DW54,United Kingdom,Media and Entertainment,Advertising
GB00B128J450,United Kingdom,Financial Services,Asset Management and Custody Banks
GB00B0130H42,United Kingdom,Capital Goods,Heavy Electrical Equipment
GB0031638363,United Kingdom,Commercial and Professional Services,Research and Consulting Services
GB0033986497,United Kingdom,Media and Entertainment,Broadcasting
GB00BYX91H57,United Kingdom,Consumer Discretionary Distribution and Retail,Other Specialty Retail
GB00B1722W11,United Kingdom,Transportation,Passenger Airlines
GB00BZ4BQC70,United Kingdom,Materials,Specialty Chemicals
GB00B53P2009,United Kingdom,Financial Services,Asset Management and Custody Banks
GB0033195214,United Kingdom,Consumer Discretionary Distribution and Retail,Home Improvement Retail
GB0004915632,United Kingdom,Capital Goods,Construction and Engineering
GB0004866223,United Kingdom,Capital Goods,Construction and Engineering
GB00BBQ38507,Ireland,Software and Services,IT Consulting and Other Services
GB00BYW0PQ60,United Kingdom,Equity Real Estate Investment Trusts (REITs),Diversified REITs
GB0005603997,United Kingdom,Insurance,Life and Health Insurance
GB0008706128,United Kingdom,Banks,Diversified Banks
GB00B17MMZ46,United Kingdom,Consumer Discretionary Distribution and Retail,Automotive Retail
BMG5361W1047,Bermuda,Insurance,Property and Casualty Insurance
GB00B0SWJX34,United Kingdom,Financial Services,Financial Exchanges and Data
GB00BYQ46T41,United Kingdom,Equity Real Estate Investment Trusts (REITs),Diversified REITs
GB00B1FP6H53,United Kingdom,Consumer Services,Restaurants
GB0005746358,United Kingdom,Household and Personal Products,Household Products
GB0006215205,United Kingdom,Transportation,Passenger Ground Transportation
GB00BJ1F4N75,United Kingdom,Software and Services,Application Software
GB00B8HX8Z88,South Africa,Health Care Equipment and Services,Health Care Facilities
GB0006027295,United Kingdom,Capital Goods,Industrial Machinery and Supplies and Components
GB0005758098,United Kingdom,Capital Goods,Aerospace and Defense
GB0008085614,United Kingdom,Capital Goods,Construction and Engineering
GB0031274896,United Kingdom,Consumer Staples Distribution and Retail,Food Retail
GB00B1CRLC47,United Kingdom,Materials,Paper Products
GB00BKFB1C65,United Kingdom,Financial Services,Diversified Financial Services
GB00BD8SLV43,United Kingdom,Commercial and Professional Services,Research and Consulting Services
GB00BNGDN821,United Kingdom,Capital Goods,Aerospace and Defense
GB0006043169,United Kingdom,Consumer Staples Distribution and Retail,Food Retail
GB0004657408,United Kingdom,Commercial and Professional Services,Environmental and Facilities Services
GB00BMX3W479,United Kingdom,Banks,Regional Banks
GB00BJHPLV88,United Kingdom,Financial Services,Asset Management and Custody Banks
GB00BH3VJ782,United Arab Emirates,Financial Services,Transaction and Payment Processing Services
GB00BDR05C01,United Kingdom,Utilities,Multi-Utilities
GB00BJVD3B28,United Kingdom,Health Care Equipment and Services,Health Care Equipment
GB00BQVVS097,United Kingdom,Energy,Oil and Gas Exploration and Production
GB00BM8PJY71,United Kingdom,Banks,Diversified Banks
GB0032089863,United Kingdom,Consumer Discretionary Distribution and Retail,Broadline Retail
GB00B3MBS747,United Kingdom,Consumer Staples Distribution and Retail,Food Retail
GB00BYM1K758,United Kingdom,Consumer Services,"Hotels, Resorts and Cruise Lines"
GB00BDFBVT43,United Kingdom,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
GB0006650450,United Kingdom,Technology Hardware and Equipment,Electronic Equipment and Instruments
GB0004300496,South Africa,Materials,Gold
GB00B2NGPM57,United Kingdom,Financial Services,Commercial and Residential Mortgage Finance
GB00BJ62K685,United Kingdom,Consumer Discretionary Distribution and Retail,Other Specialty Retail
GB00B0H2K534,United Kingdom,Energy,Oil and Gas Equipment and Services
GB00B7N0K053,United Kingdom,"Food, Beverage and Tobacco",Packaged Foods and Meats
GB00BGXQNP29,United Kingdom,Insurance,Life and Health Insurance
GB00BNNTLN49,United Kingdom,Utilities,Water Utilities
GG00B1Z5FH87,Netherlands,Consumer Services,"Hotels, Resorts and Cruise Lines"
GB0007099541,United Kingdom,Insurance,Life and Health Insurance
GB0006825383,United Kingdom,Consumer Durables and Apparel,Homebuilding
GB0006776081,United Kingdom,Consumer Services,Education Services
GB00B19Z1432,United Kingdom,Household and Personal Products,Personal Care Products
GB00BNHSJN34,United Kingdom,Financial Services,Asset Management and Custody Banks
GB00B0WMWD03,United Kingdom,Capital Goods,Aerospace and Defense
GB00B03MM408,United Kingdom,Energy,Integrated Oil and Gas
GB00B2B0DG97,United Kingdom,Commercial and Professional Services,Research and Consulting Services
GG00BYV2ZQ34,United Kingdom,Equity Real Estate Investment Trusts (REITs),Office REITs
GB0007188757,United Kingdom,Materials,Diversified Metals and Mining
GB00B24CGK77,United Kingdom,Household and Personal Products,Household Products
GB00BGDT3G23,United Kingdom,Media and Entertainment,Interactive Media and Services
GB00BVFNZH21,United Kingdom,Capital Goods,Industrial Machinery and Supplies and Components
GB00B63H8491,United Kingdom,Capital Goods,Aerospace and Defense
GB0003096442,United Kingdom,Capital Goods,Trading Companies and Distributors
GB0007323586,United Kingdom,Technology Hardware and Equipment,Electronic Equipment and Instruments
GB00B082RF11,United Kingdom,Commercial and Professional Services,Environmental and Facilities Services
GB00BNR4T868,United Kingdom,Commercial and Professional Services,Environmental and Facilities Services
GB00B1N7Z094,United Kingdom,Equity Real Estate Investment Trusts (REITs),Self-Storage REITs
GB00B019KW72,United Kingdom,Consumer Staples Distribution and Retail,Food Retail
GB00BYZDVK82,United Kingdom,Software and Services,IT Consulting and Other Services
GB00BP9LHF23,United Kingdom,Financial Services,Asset Management and Custody Banks
GB00BFZZM640,United Kingdom,Media and Entertainment,Advertising
GB00B6YTLS95,United Kingdom,Transportation,Passenger Ground Transportation
GB00B8C3BL03,United Kingdom,Software and Services,Application Software
GB00B5ZN1N88,United Kingdom,Equity Real Estate Investment Trusts (REITs),Industrial REITs
GB0008025412,United Kingdom,Capital Goods,Trading Companies and Distributors
GB0008220112,United Kingdom,Materials,Paper and Plastic Packaging Products and Materials
GB00B1WY2338,United Kingdom,Capital Goods,Industrial Conglomerates
GB0009223206,United Kingdom,Health Care Equipment and Services,Health Care Equipment
GB0004726096,United Kingdom,Technology Hardware and Equipment,Communications Equipment
GB00BWFGQN14,United Kingdom,Capital Goods,Industrial Machinery and Supplies and Components
GB00B0CY5V57,United Kingdom,Energy,Oil and Gas Exploration and Production
GG00B1W3VF54,United Kingdom,Real Estate Management and Development,Real Estate Operating Companies
GB0007973794,United Kingdom,Commercial and Professional Services,Environmental and Facilities Services
GB0007908733,United Kingdom,Utilities,Electric Utilities
GB00BGBN7C04,United Kingdom,Consumer Services,Restaurants
GB0004082847,United Kingdom,Banks,Diversified Banks
GB00B135BJ46,United Kingdom,Real Estate Management and Development,Real Estate Services
GB00B1FH8J72,United Kingdom,Utilities,Water Utilities
GB0003308607,United Kingdom,Technology Hardware and Equipment,Electronic Equipment and Instruments
GB00BNTVWJ75,United Kingdom,Materials,Specialty Chemicals
GB00B4YCDF59,United Kingdom,Telecommunication Services,Alternative Carriers
GB00BP92CJ43,United Kingdom,"Food, Beverage and Tobacco",Packaged Foods and Meats
GB00BMTV7393,United Kingdom,Consumer Discretionary Distribution and Retail,Broadline Retail
GB00BYQB9V88,United Kingdom,Automobiles and Components,Automotive Parts and Equipment
GB0001500809,United Kingdom,Energy,Oil and Gas Exploration and Production
GB00BK9RKT01,United Kingdom,Capital Goods,Trading Companies and Distributors
GB0008883927,United Kingdom,Capital Goods,Industrial Machinery and Supplies and Components
GB00BLGZ9862,United Kingdom,Consumer Staples Distribution and Retail,Food Retail
DE000TUAG505,Germany,Consumer Services,"Hotels, Resorts and Cruise Lines"
GB0008782301,United Kingdom,Consumer Durables and Apparel,Homebuilding
GB00B10RZP78,United Kingdom,Household and Personal Products,Personal Care Products
GB0006928617,United Kingdom,Equity Real Estate Investment Trusts (REITs),Multi-Family Residential REITs
GB00B39J2M42,United Kingdom,Utilities,Water Utilities
GB00BZC0LC10,United Kingdom,Consumer Durables and Apparel,Home Furnishings
GB0009292243,United Kingdom,Materials,Specialty Chemicals
GB00BH4HKS39,United Kingdom,Telecommunication Services,Wireless Telecommunication Services
GB00B82YXW83,United Kingdom,Capital Goods,Industrial Machinery and Supplies and Components
GB0001859296,United Kingdom,Consumer Durables and Apparel,Homebuilding
GB0009465807,United Kingdom,Capital Goods,Industrial Machinery and Supplies and Components
GB00B5N0P849,United Kingdom,Energy,Oil and Gas Equipment and Services
GB00B021F836,United Kingdom,Consumer Staples Distribution and Retail,Food Retail
GB00BJDQQ870,United Kingdom,Consumer Discretionary Distribution and Retail,Other Specialty Retail
GB00B1KJJ408,United Kingdom,Consumer Services,"Hotels, Resorts and Cruise Lines"
GB00B1VQ6H25,United Kingdom,Media and Entertainment,Advertising
BMG0112X1056,Netherlands,Insurance,Life and Health Insurance
BE0003818359,Belgium,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
BMG455841020,Netherlands,Financial Services,Multi-Sector Holdings
BMG067231032,Bermuda,Energy,Oil and Gas Storage and Transportation
FO0000000179,Faroe Islands,"Food, Beverage and Tobacco",Packaged Foods and Meats
BMG1466R1732,Bermuda,Energy,Oil and Gas Drilling
BMG173841013,Singapore,Energy,Oil and Gas Storage and Transportation
BMG359472021,Bermuda,Energy,Oil and Gas Storage and Transportation
BMG4233B1090,Singapore,Energy,Oil and Gas Storage and Transportation
BMG850801025,Bermuda,Transportation,Marine Transportation
ES0127797019,Spain,Utilities,Renewable Electricity
GG00BG0KTL52,United Kingdom,Materials,Precious Metals and Minerals
ES0109427734,Spain,Media and Entertainment,Broadcasting
ES0167050915,Spain,Capital Goods,Construction and Engineering
ES0132105018,Spain,Materials,Steel
ES0105046009,Spain,Transportation,Airport Services
ES0109067019,Spain,Consumer Services,"Hotels, Resorts and Cruise Lines"
ES0125220311,Spain,Utilities,Electric Utilities
ES0113211835,Spain,Banks,Diversified Banks
ES0113679I37,Spain,Banks,Diversified Banks
ES0140609019,Spain,Banks,Diversified Banks
ES0105066007,Spain,Telecommunication Services,Integrated Telecommunication Services
ES0112501012,Spain,"Food, Beverage and Tobacco",Packaged Foods and Meats
ES0130670112,Spain,Utilities,Electric Utilities
ES0130960018,Spain,Utilities,Gas Utilities
ES0122060314,Spain,Capital Goods,Construction and Engineering
ES0105223004,Spain,Automobiles and Components,Automotive Parts and Equipment
ES0171996087,Spain,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
ES0144580Y14,Spain,Utilities,Electric Utilities
ES0118594417,Spain,Software and Services,IT Consulting and Other Services
ES0148396007,Spain,Consumer Discretionary Distribution and Retail,Apparel Retail
ES0105027009,Spain,Transportation,Air Freight and Logistics
ES0124244E34,Spain,Insurance,Multi-line Insurance
ES0176252718,Spain,Consumer Services,"Hotels, Resorts and Cruise Lines"
ES0105025003,Spain,Equity Real Estate Investment Trusts (REITs),Diversified REITs
ES0161560018,Spain,Consumer Services,"Hotels, Resorts and Cruise Lines"
ES0116870314,Spain,Utilities,Gas Utilities
ES0142090317,Spain,Capital Goods,Construction and Engineering
ES0169501022,Spain,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
ES0175438003,Spain,Commercial and Professional Services,Security and Alarm Services
ES0173093024,Spain,Utilities,Electric Utilities
ES0173516115,Spain,Energy,Integrated Oil and Gas
ES0113860A34,Spain,Banks,Diversified Banks
ES0113900J37,Spain,Banks,Diversified Banks
ES0165386014,Spain,Utilities,Renewable Electricity
ES0178430E18,Spain,Telecommunication Services,Integrated Telecommunication Services
ES0178165017,Spain,Energy,Oil and Gas Equipment and Services
BMG2624N1535,Hong Kong,Consumer Staples Distribution and Retail,Food Retail
BMG4587L1090,Bermuda,Real Estate Management and Development,Real Estate Operating Companies
BMG507361001,Bermuda,Capital Goods,Industrial Conglomerates
BMG578481068,Hong Kong,Consumer Services,"Hotels, Resorts and Cruise Lines"
BMG2116Y1057,China,Utilities,Water Utilities
CA46016U1084,Canada,Energy,Oil and Gas Exploration and Production
FI4000297767,Finland,Banks,Diversified Banks
CH0012221716,Switzerland,Capital Goods,Electrical Components and Equipment
CH0012138605,Switzerland,Commercial and Professional Services,Human Resource and Employment Services
CH0029850754,Switzerland,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
CH0432492467,Switzerland,Health Care Equipment and Services,Health Care Supplies
CH0024590272,Switzerland,Technology Hardware and Equipment,Technology Distributors
AT0000A18XM4,Austria,Semiconductors and Semiconductor Equipment,Semiconductors
CH0043238366,Switzerland,"Food, Beverage and Tobacco",Packaged Foods and Meats
CH0102484968,Switzerland,Financial Services,Asset Management and Custody Banks
CH0012410517,Switzerland,Insurance,Multi-line Insurance
CH0009002962,Switzerland,"Food, Beverage and Tobacco",Packaged Foods and Meats
CH0531751755,Switzerland,Banks,Regional Banks
CH1101098163,Switzerland,Capital Goods,Building Products
CH0130293662,Switzerland,Utilities,Electric Utilities
CH0210483332,Switzerland,Consumer Durables and Apparel,"Apparel, Accessories and Luxury Goods"
